"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/12/23","00:54","0.687","-","1.073"
"2022/12/23","01:00","0.69","-","1.077"
"2022/12/23","01:06","0.693","-","1.076"
"2022/12/23","01:12","0.694","-","1.087"
"2022/12/23","01:18","0.695","-","1.098"
"2022/12/23","01:24","0.694","-","1.102"
"2022/12/23","01:30","0.693","-","1.095"
"2022/12/23","01:36","0.69","-","1.098"
"2022/12/23","01:42","0.687","-","1.107"
"2022/12/23","01:48","0.683","-","1.114"
"2022/12/23","01:54","0.677","-","1.128"
"2022/12/23","02:00","0.671","-","1.143"
"2022/12/23","02:06","0.663","-","1.144"
"2022/12/23","02:12","0.655","-","1.131"
"2022/12/23","02:18","0.645","-","1.12"
"2022/12/23","02:24","0.635","-","1.126"
"2022/12/23","02:30","0.624","-","1.135"
"2022/12/23","02:36","0.612","-","1.124"
"2022/12/23","02:42","0.599","-","1.112"
"2022/12/23","02:48","0.585","-","1.092"
"2022/12/23","02:54","0.571","-","1.08"
"2022/12/23","03:00","0.557","-","1.079"
"2022/12/23","03:06","0.541","-","1.074"
"2022/12/23","03:12","0.526","-","1.086"
"2022/12/23","03:18","0.51","-","1.086"
"2022/12/23","03:24","0.493","-","1.075"
"2022/12/23","03:30","0.477","-","1.076"
"2022/12/23","03:36","0.46","-","1.058"
"2022/12/23","03:42","0.443","-","1.054"
"2022/12/23","03:48","0.426","-","1.044"
"2022/12/23","03:54","0.409","-","1.026"
"2022/12/23","04:00","0.392","-","1.029"
"2022/12/23","04:06","0.375","-","1.01"
"2022/12/23","04:12","0.358","-","0.97"
"2022/12/23","04:18","0.341","-","0.921"
"2022/12/23","04:24","0.324","-","0.904"
"2022/12/23","04:30","0.308","-","0.897"
"2022/12/23","04:36","0.291","-","0.902"
"2022/12/23","04:42","0.275","-","0.891"
"2022/12/23","04:48","0.259","-","0.89"
"2022/12/23","04:54","0.243","-","0.886"
"2022/12/23","05:00","0.227","-","0.881"
"2022/12/23","05:06","0.212","-","0.858"
"2022/12/23","05:12","0.196","-","0.841"
"2022/12/23","05:18","0.181","-","0.821"
"2022/12/23","05:24","0.165","-","0.821"
"2022/12/23","05:30","0.15","-","0.818"
"2022/12/23","05:36","0.135","-","0.82"
"2022/12/23","05:42","0.12","-","0.804"
"2022/12/23","05:48","0.106","-","0.802"
"2022/12/23","05:54","0.091","-","0.791"
"2022/12/23","06:00","0.077","-","0.771"
"2022/12/23","06:06","0.063","-","0.758"
"2022/12/23","06:12","0.05","-","0.753"
"2022/12/23","06:18","0.036","-","0.744"
"2022/12/23","06:24","0.024","-","0.735"
"2022/12/23","06:30","0.012","-","0.73"
"2022/12/23","06:36","0","-","0.72"
"2022/12/23","06:42","-0.011","-","0.717"
"2022/12/23","06:48","-0.021","-","0.696"
"2022/12/23","06:54","-0.03","-","0.693"
"2022/12/23","07:00","-0.039","-","0.7"
"2022/12/23","07:06","-0.046","-","0.703"
"2022/12/23","07:12","-0.052","-","0.695"
"2022/12/23","07:18","-0.057","-","0.692"
"2022/12/23","07:24","-0.061","-","0.71"
"2022/12/23","07:30","-0.064","-","0.713"
"2022/12/23","07:36","-0.065","-","0.717"
"2022/12/23","07:42","-0.065","-","0.713"
"2022/12/23","07:48","-0.063","-","0.718"
"2022/12/23","07:54","-0.059","-","0.726"
"2022/12/23","08:00","-0.054","-","0.72"
"2022/12/23","08:06","-0.047","-","0.723"
"2022/12/23","08:12","-0.039","-","0.733"
"2022/12/23","08:18","-0.029","-","0.744"
"2022/12/23","08:24","-0.017","-","0.745"
"2022/12/23","08:30","-0.004","-","0.754"
"2022/12/23","08:36","0.012","-","0.759"
"2022/12/23","08:42","0.028","-","0.781"
"2022/12/23","08:48","0.047","-","0.8"
"2022/12/23","08:54","0.067","-","0.821"
"2022/12/23","09:00","0.088","-","0.849"
"2022/12/23","09:06","0.111","-","0.881"
"2022/12/23","09:12","0.135","-","0.909"
"2022/12/23","09:18","0.16","-","0.95"
"2022/12/23","09:24","0.187","-","0.997"
"2022/12/23","09:30","0.214","-","1.016"
"2022/12/23","09:36","0.243","-","1.053"
"2022/12/23","09:42","0.272","-","1.073"
"2022/12/23","09:48","0.301","-","1.085"
"2022/12/23","09:54","0.332","-","1.111"
"2022/12/23","10:00","0.362","-","1.124"
"2022/12/23","10:06","0.393","-","1.165"
"2022/12/23","10:12","0.424","-","1.193"
"2022/12/23","10:18","0.455","-","1.218"
"2022/12/23","10:24","0.486","-","1.262"
"2022/12/23","10:30","0.516","-","1.286"
"2022/12/23","10:36","0.547","-","1.305"
"2022/12/23","10:42","0.576","-","1.337"
"2022/12/23","10:48","0.606","-","1.364"
"2022/12/23","10:54","0.634","-","1.401"
"2022/12/23","11:00","0.662","-","1.439"
"2022/12/23","11:06","0.689","-","1.467"
"2022/12/23","11:12","0.715","-","1.488"
"2022/12/23","11:18","0.741","-","1.508"
"2022/12/23","11:24","0.765","-","1.547"
"2022/12/23","11:30","0.789","-","1.577"
"2022/12/23","11:36","0.811","-","1.585"
"2022/12/23","11:42","0.833","-","1.616"
"2022/12/23","11:48","0.853","-","1.64"
"2022/12/23","11:54","0.873","-","1.678"
"2022/12/23","12:00","0.891","-","1.708"
"2022/12/23","12:06","0.909","-","1.736"
"2022/12/23","12:12","0.925","-","1.784"
"2022/12/23","12:18","0.941","-","1.81"
"2022/12/23","12:24","0.955","-","1.844"
"2022/12/23","12:30","0.968","-","1.867"
"2022/12/23","12:36","0.981","-","1.891"
"2022/12/23","12:42","0.992","-","1.941"
"2022/12/23","12:48","1.002","-","1.955"
"2022/12/23","12:54","1.011","-","1.961"
"2022/12/23","13:00","1.02","-","1.966"
"2022/12/23","13:06","1.027","-","1.985"
"2022/12/23","13:12","1.033","-","2.022"
"2022/12/23","13:18","1.038","-","2.012"
"2022/12/23","13:24","1.042","-","2.027"
"2022/12/23","13:30","1.045","-","2.018"
"2022/12/23","13:36","1.046","-","1.997"
"2022/12/23","13:42","1.047","-","1.979"
"2022/12/23","13:48","1.046","-","1.969"
"2022/12/23","13:54","1.044","-","1.942"
"2022/12/23","14:00","1.041","-","1.905"
"2022/12/23","14:06","1.037","-","1.876"
"2022/12/23","14:12","1.032","-","1.88"
"2022/12/23","14:18","1.025","-","1.858"
"2022/12/23","14:24","1.017","-","1.848"
"2022/12/23","14:30","1.007","-","1.823"
"2022/12/23","14:36","0.997","-","1.806"
"2022/12/23","14:42","0.985","-","1.786"
"2022/12/23","14:48","0.973","-","1.741"
"2022/12/23","14:54","0.959","-","1.703"
"2022/12/23","15:00","0.944","-","1.66"
"2022/12/23","15:06","0.928","-","1.621"
"2022/12/23","15:12","0.911","-","1.589"
"2022/12/23","15:18","0.893","-","1.554"
"2022/12/23","15:24","0.875","-","1.533"
"2022/12/23","15:30","0.855","-","1.528"
"2022/12/23","15:36","0.835","-","1.516"
"2022/12/23","15:42","0.814","-","1.52"
"2022/12/23","15:48","0.793","-","1.525"
"2022/12/23","15:54","0.771","-","1.508"
"2022/12/23","16:00","0.749","-","1.491"
"2022/12/23","16:06","0.726","-","1.465"
"2022/12/23","16:12","0.704","-","1.448"
"2022/12/23","16:18","0.68","-","1.453"
"2022/12/23","16:24","0.657","-","1.435"
"2022/12/23","16:30","0.633","-","1.418"
"2022/12/23","16:36","0.609","-","1.401"
"2022/12/23","16:42","0.585","-","1.402"
"2022/12/23","16:48","0.561","-","1.388"
"2022/12/23","16:54","0.537","-","1.377"
"2022/12/23","17:00","0.513","-","1.362"
"2022/12/23","17:06","0.489","-","1.366"
"2022/12/23","17:12","0.464","-","1.361"
"2022/12/23","17:18","0.44","-","1.347"
"2022/12/23","17:24","0.415","-","1.315"
"2022/12/23","17:30","0.391","-","1.281"
"2022/12/23","17:36","0.366","-","1.253"
"2022/12/23","17:42","0.341","-","1.218"
"2022/12/23","17:48","0.317","-","1.186"
"2022/12/23","17:54","0.292","-","1.156"
"2022/12/23","18:00","0.267","-","1.118"
"2022/12/23","18:06","0.242","-","1.087"
"2022/12/23","18:12","0.218","-","1.04"
"2022/12/23","18:18","0.193","-","1.005"
"2022/12/23","18:24","0.169","-","0.98"
"2022/12/23","18:30","0.145","-","0.947"
"2022/12/23","18:36","0.121","-","0.917"
"2022/12/23","18:42","0.097","-","0.883"
"2022/12/23","18:48","0.074","-","0.823"
"2022/12/23","18:54","0.051","-","0.78"
"2022/12/23","19:00","0.029","-","0.723"
"2022/12/23","19:06","0.008","-","0.68"
"2022/12/23","19:12","-0.013","-","0.638"
"2022/12/23","19:18","-0.033","-","0.597"
"2022/12/23","19:24","-0.052","-","0.57"
"2022/12/23","19:30","-0.069","-","0.555"
"2022/12/23","19:36","-0.086","-","0.542"
"2022/12/23","19:42","-0.101","-","0.544"
"2022/12/23","19:48","-0.115","-","0.583"
"2022/12/23","19:54","-0.128","-","0.583"
"2022/12/23","20:00","-0.139","-","0.578"
"2022/12/23","20:06","-0.148","-","0.586"
"2022/12/23","20:12","-0.156","-","0.594"
"2022/12/23","20:18","-0.162","-","0.612"
"2022/12/23","20:24","-0.166","-","0.611"
"2022/12/23","20:30","-0.168","-","0.602"
"2022/12/23","20:36","-0.168","-","0.612"
"2022/12/23","20:42","-0.167","-","0.62"
"2022/12/23","20:48","-0.163","-","0.627"
"2022/12/23","20:54","-0.158","-","0.65"
"2022/12/23","21:00","-0.151","-","0.667"
"2022/12/23","21:06","-0.142","-","0.687"
"2022/12/23","21:12","-0.131","-","0.699"
"2022/12/23","21:18","-0.119","-","0.663"
"2022/12/23","21:24","-0.105","-","0.626"
"2022/12/23","21:30","-0.089","-","0.606"
"2022/12/23","21:36","-0.071","-","0.581"
"2022/12/23","21:42","-0.053","-","0.567"
"2022/12/23","21:48","-0.033","-","0.58"
"2022/12/23","21:54","-0.011","-","0.588"
"2022/12/23","22:00","0.011","-","0.571"
"2022/12/23","22:06","0.034","-","0.544"
"2022/12/23","22:12","0.058","-","0.566"
"2022/12/23","22:18","0.083","-","0.645"
"2022/12/23","22:24","0.109","-","0.714"
"2022/12/23","22:30","0.135","-","0.738"
"2022/12/23","22:36","0.161","-","0.77"
"2022/12/23","22:42","0.187","-","0.783"
"2022/12/23","22:48","0.213","-","0.812"
"2022/12/23","22:54","0.24","-","0.787"
"2022/12/23","23:00","0.266","-","0.762"
"2022/12/23","23:06","0.292","-","0.754"
"2022/12/23","23:12","0.317","-","0.724"
"2022/12/23","23:18","0.342","-","0.695"
"2022/12/23","23:24","0.367","-","0.689"
"2022/12/23","23:30","0.391","-","0.689"
"2022/12/23","23:36","0.414","-","0.724"
"2022/12/23","23:42","0.436","-","0.744"
"2022/12/23","23:48","0.458","-","0.786"
"2022/12/23","23:54","0.479","-","0.838"
"2022/12/24","00:00","0.499","-","0.88"
"2022/12/24","00:06","0.518","-","0.924"
"2022/12/24","00:12","0.536","-","0.967"
"2022/12/24","00:18","0.553","-","1.007"
"2022/12/24","00:24","0.57","-","1.024"
"2022/12/24","00:30","0.585","-","0.997"
"2022/12/24","00:36","0.6","-","0.968"
"2022/12/24","00:42","0.614","-","0.929"
"2022/12/24","00:48","0.627","-","0.914"
"2022/12/24","00:54","0.638","-","0.877"
"2022/12/24","01:00","0.65","-","0.872"
"2022/12/24","01:06","0.66","-","0.886"
"2022/12/24","01:12","0.669","-","0.903"
"2022/12/24","01:18","0.677","-","0.944"
"2022/12/24","01:24","0.685","-","0.948"
"2022/12/24","01:30","0.692","-","0.962"
"2022/12/24","01:36","0.697","-","0.982"
"2022/12/24","01:42","0.702","-","0.965"
"2022/12/24","01:48","0.706","-","0.945"
"2022/12/24","01:54","0.709","-","0.906"
"2022/12/24","02:00","0.71","-","0.876"
"2022/12/24","02:06","0.711","-","0.844"
"2022/12/24","02:12","0.711","-","0.806"
"2022/12/24","02:18","0.71","-","0.765"
"2022/12/24","02:24","0.707","-","0.748"
"2022/12/24","02:30","0.704","-","0.741"
"2022/12/24","02:36","0.7","-","0.735"
"2022/12/24","02:42","0.694","-","0.747"
"2022/12/24","02:48","0.688","-","0.751"
"2022/12/24","02:54","0.68","-","0.744"
"2022/12/24","03:00","0.672","-","0.74"
"2022/12/24","03:06","0.662","-","0.728"
"2022/12/24","03:12","0.652","-","0.719"
"2022/12/24","03:18","0.64","-","0.703"
"2022/12/24","03:24","0.628","-","0.673"
"2022/12/24","03:30","0.615","-","0.636"
"2022/12/24","03:36","0.602","-","0.593"
"2022/12/24","03:42","0.587","-","0.57"
"2022/12/24","03:48","0.572","-","0.54"
"2022/12/24","03:54","0.557","-","0.517"
"2022/12/24","04:00","0.541","-","0.51"
"2022/12/24","04:06","0.525","-","0.51"
"2022/12/24","04:12","0.508","-","0.511"
"2022/12/24","04:18","0.491","-","0.496"
"2022/12/24","04:24","0.474","-","0.466"
"2022/12/24","04:30","0.457","-","0.449"
"2022/12/24","04:36","0.439","-","0.451"
"2022/12/24","04:42","0.422","-","0.428"
"2022/12/24","04:48","0.404","-","0.385"
"2022/12/24","04:54","0.387","-","0.346"
"2022/12/24","05:00","0.37","-","0.307"
"2022/12/24","05:06","0.352","-","0.26"
"2022/12/24","05:12","0.335","-","0.238"
"2022/12/24","05:18","0.318","-","0.209"
"2022/12/24","05:24","0.301","-","0.189"
"2022/12/24","05:30","0.284","-","0.165"
"2022/12/24","05:36","0.267","-","0.139"
"2022/12/24","05:42","0.251","-","0.124"
"2022/12/24","05:48","0.234","-","0.119"
"2022/12/24","05:54","0.218","-","0.109"
"2022/12/24","06:00","0.201","-","0.104"
"2022/12/24","06:06","0.185","-","0.082"
"2022/12/24","06:12","0.169","-","0.068"
"2022/12/24","06:18","0.152","-","0.055"
"2022/12/24","06:24","0.136","-","0.046"
"2022/12/24","06:30","0.12","-","0.024"
"2022/12/24","06:36","0.105","-","-0.001"
"2022/12/24","06:42","0.089","-","-0.05"
"2022/12/24","06:48","0.074","-","-0.075"
"2022/12/24","06:54","0.059","-","-0.094"
"2022/12/24","07:00","0.044","-","-0.096"
"2022/12/24","07:06","0.03","-","-0.088"
"2022/12/24","07:12","0.016","-","-0.102"
"2022/12/24","07:18","0.002","-","-0.12"
"2022/12/24","07:24","-0.011","-","-0.119"
"2022/12/24","07:30","-0.023","-","-0.121"
"2022/12/24","07:36","-0.034","-","-0.129"
"2022/12/24","07:42","-0.045","-","-0.129"
"2022/12/24","07:48","-0.054","-","-0.124"
"2022/12/24","07:54","-0.063","-","-0.127"
"2022/12/24","08:00","-0.07","-","-0.128"
"2022/12/24","08:06","-0.077","-","-0.14"
"2022/12/24","08:12","-0.081","-","-0.153"
"2022/12/24","08:18","-0.085","-","-0.164"
"2022/12/24","08:24","-0.087","-","-0.181"
"2022/12/24","08:30","-0.087","-","-0.197"
"2022/12/24","08:36","-0.086","-","-0.197"
"2022/12/24","08:42","-0.084","-","-0.188"
"2022/12/24","08:48","-0.079","-","-0.182"
"2022/12/24","08:54","-0.073","-","-0.177"
"2022/12/24","09:00","-0.065","-","-0.165"
"2022/12/24","09:06","-0.056","-","-0.154"
"2022/12/24","09:12","-0.044","-","-0.139"
"2022/12/24","09:18","-0.031","-","-0.129"
"2022/12/24","09:24","-0.016","-","-0.121"
"2022/12/24","09:30","0","-","-0.097"
"2022/12/24","09:36","0.019","-","-0.065"
"2022/12/24","09:42","0.038","-","-0.04"
"2022/12/24","09:48","0.06","-","-0.017"
"2022/12/24","09:54","0.082","-","0.008"
"2022/12/24","10:00","0.106","-","0.022"
"2022/12/24","10:06","0.132","-","0.03"
"2022/12/24","10:12","0.158","-","0.058"
"2022/12/24","10:18","0.186","-","0.083"
"2022/12/24","10:24","0.214","-","0.11"
"2022/12/24","10:30","0.244","-","0.141"
"2022/12/24","10:36","0.273","-","0.148"
"2022/12/24","10:42","0.304","-","0.163"
"2022/12/24","10:48","0.335","-","0.188"
"2022/12/24","10:54","0.366","-","0.216"
"2022/12/24","11:00","0.397","-","0.238"
"2022/12/24","11:06","0.428","-","0.279"
"2022/12/24","11:12","0.46","-","0.319"
"2022/12/24","11:18","0.491","-","0.355"
"2022/12/24","11:24","0.521","-","0.391"
"2022/12/24","11:30","0.552","-","0.416"
"2022/12/24","11:36","0.582","-","0.447"
"2022/12/24","11:42","0.611","-","0.476"
"2022/12/24","11:48","0.639","-","0.501"
"2022/12/24","11:54","0.667","-","0.526"
"2022/12/24","12:00","0.694","-","0.543"
"2022/12/24","12:06","0.72","-","0.575"
"2022/12/24","12:12","0.745","-","0.589"
"2022/12/24","12:18","0.77","-","0.609"
"2022/12/24","12:24","0.793","-","0.642"
"2022/12/24","12:30","0.815","-","0.665"
"2022/12/24","12:36","0.836","-","0.682"
"2022/12/24","12:42","0.857","-","0.703"
"2022/12/24","12:48","0.876","-","0.719"
"2022/12/24","12:54","0.894","-","0.755"
"2022/12/24","13:00","0.911","-","0.785"
"2022/12/24","13:06","0.928","-","0.815"
"2022/12/24","13:12","0.943","-","0.832"
"2022/12/24","13:18","0.957","-","0.846"
"2022/12/24","13:24","0.97","-","0.866"
"2022/12/24","13:30","0.982","-","0.88"
"2022/12/24","13:36","0.993","-","0.899"
"2022/12/24","13:42","1.003","-","0.911"
"2022/12/24","13:48","1.012","-","0.933"
"2022/12/24","13:54","1.02","-","0.956"
"2022/12/24","14:00","1.027","-","0.963"
"2022/12/24","14:06","1.032","-","0.97"
"2022/12/24","14:12","1.037","-","0.985"
"2022/12/24","14:18","1.041","-","0.997"
"2022/12/24","14:24","1.043","-","1.007"
"2022/12/24","14:30","1.044","-","1.01"
"2022/12/24","14:36","1.044","-","1.022"
"2022/12/24","14:42","1.043","-","1.027"
"2022/12/24","14:48","1.04","-","1.028"
"2022/12/24","14:54","1.036","-","1.022"
"2022/12/24","15:00","1.031","-","1.021"
"2022/12/24","15:06","1.025","-","1.023"
"2022/12/24","15:12","1.018","-","1.03"
"2022/12/24","15:18","1.009","-","1.022"
"2022/12/24","15:24","0.999","-","1.018"
"2022/12/24","15:30","0.988","-","1.005"
"2022/12/24","15:36","0.976","-","1.005"
"2022/12/24","15:42","0.963","-","0.986"
"2022/12/24","15:48","0.948","-","0.97"
"2022/12/24","15:54","0.933","-","0.952"
"2022/12/24","16:00","0.917","-","0.933"
"2022/12/24","16:06","0.899","-","0.929"
"2022/12/24","16:12","0.881","-","0.914"
"2022/12/24","16:18","0.863","-","0.893"
"2022/12/24","16:24","0.843","-","0.875"
"2022/12/24","16:30","0.823","-","0.859"
"2022/12/24","16:36","0.802","-","0.846"
"2022/12/24","16:42","0.781","-","0.82"
"2022/12/24","16:48","0.759","-","0.792"
"2022/12/24","16:54","0.737","-","0.763"
"2022/12/24","17:00","0.714","-","0.746"
"2022/12/24","17:06","0.691","-","0.726"
"2022/12/24","17:12","0.668","-","0.7"
"2022/12/24","17:18","0.645","-","0.677"
"2022/12/24","17:24","0.622","-","0.661"
"2022/12/24","17:30","0.598","-","0.633"
"2022/12/24","17:36","0.574","-","0.621"
"2022/12/24","17:42","0.55","-","0.604"
"2022/12/24","17:48","0.526","-","0.587"
"2022/12/24","17:54","0.502","-","0.564"
"2022/12/24","18:00","0.477","-","0.541"
"2022/12/24","18:06","0.453","-","0.516"
"2022/12/24","18:12","0.428","-","0.5"
"2022/12/24","18:18","0.403","-","0.473"
"2022/12/24","18:24","0.379","-","0.447"
"2022/12/24","18:30","0.354","-","0.425"
"2022/12/24","18:36","0.329","-","0.404"
"2022/12/24","18:42","0.304","-","0.383"
"2022/12/24","18:48","0.279","-","0.357"
"2022/12/24","18:54","0.254","-","0.343"
"2022/12/24","19:00","0.229","-","0.314"
"2022/12/24","19:06","0.204","-","0.295"
"2022/12/24","19:12","0.179","-","0.276"
"2022/12/24","19:18","0.154","-","0.253"
"2022/12/24","19:24","0.13","-","0.233"
"2022/12/24","19:30","0.106","-","0.201"
"2022/12/24","19:36","0.082","-","0.171"
"2022/12/24","19:42","0.059","-","0.143"
"2022/12/24","19:48","0.036","-","0.12"
"2022/12/24","19:54","0.014","-","0.087"
"2022/12/24","20:00","-0.007","-","0.054"
"2022/12/24","20:06","-0.027","-","0.025"
"2022/12/24","20:12","-0.047","-","0.002"
"2022/12/24","20:18","-0.065","-","-0.02"
"2022/12/24","20:24","-0.082","-","-0.05"
"2022/12/24","20:30","-0.098","-","-0.069"
"2022/12/24","20:36","-0.112","-","-0.09"
"2022/12/24","20:42","-0.125","-","-0.106"
"2022/12/24","20:48","-0.137","-","-0.12"
"2022/12/24","20:54","-0.146","-","-0.133"
"2022/12/24","21:00","-0.154","-","-0.144"
"2022/12/24","21:06","-0.161","-","-0.159"
"2022/12/24","21:12","-0.165","-","-0.174"
"2022/12/24","21:18","-0.168","-","-0.176"
"2022/12/24","21:24","-0.169","-","-0.173"
"2022/12/24","21:30","-0.168","-","-0.179"
"2022/12/24","21:36","-0.165","-","-0.174"
"2022/12/24","21:42","-0.16","-","-0.172"
"2022/12/24","21:48","-0.154","-","-0.171"
"2022/12/24","21:54","-0.145","-","-0.167"
"2022/12/24","22:00","-0.135","-","-0.166"
"2022/12/24","22:06","-0.123","-","-0.159"
"2022/12/24","22:12","-0.109","-","-0.143"
"2022/12/24","22:18","-0.094","-","-0.128"
"2022/12/24","22:24","-0.077","-","-0.11"
"2022/12/24","22:30","-0.059","-","-0.08"
"2022/12/24","22:36","-0.039","-","-0.057"
"2022/12/24","22:42","-0.018","-","-0.042"
"2022/12/24","22:48","0.004","-","-0.012"
"2022/12/24","22:54","0.027","-","0.003"
"2022/12/24","23:00","0.051","-","0.021"
"2022/12/24","23:06","0.075","-","0.047"
"2022/12/24","23:12","0.1","-","0.065"
"2022/12/24","23:18","0.126","-","0.097"
"2022/12/24","23:24","0.152","-","0.128"
"2022/12/24","23:30","0.178","-","0.15"
"2022/12/24","23:36","0.205","-","0.171"
"2022/12/24","23:42","0.231","-","0.202"
"2022/12/24","23:48","0.257","-","0.232"
"2022/12/24","23:54","0.283","-","0.252"
"2022/12/25","00:00","0.309","-","0.273"
"2022/12/25","00:06","0.334","-","0.291"
"2022/12/25","00:12","0.359","-","0.308"
"2022/12/25","00:18","0.383","-","0.335"
"2022/12/25","00:24","0.407","-","0.351"
"2022/12/25","00:30","0.43","-","0.37"
"2022/12/25","00:36","0.452","-","0.384"
"2022/12/25","00:42","0.473","-","0.393"
"2022/12/25","00:48","0.494","-","0.409"
"2022/12/25","00:54","0.514","-","0.427"
"2022/12/25","01:00","0.533","-","0.431"
"2022/12/25","01:06","0.551","-","0.442"
"2022/12/25","01:12","0.568","-","0.455"
"2022/12/25","01:18","0.584","-","0.467"
"2022/12/25","01:24","0.6","-","0.481"
"2022/12/25","01:30","0.614","-","0.494"
"2022/12/25","01:36","0.628","-","0.493"
"2022/12/25","01:42","0.64","-","0.503"
"2022/12/25","01:48","0.652","-","0.515"
"2022/12/25","01:54","0.663","-","0.526"
"2022/12/25","02:00","0.673","-","0.539"
"2022/12/25","02:06","0.682","-","0.546"
"2022/12/25","02:12","0.691","-","0.564"
"2022/12/25","02:18","0.698","-","0.58"
"2022/12/25","02:24","0.704","-","0.592"
"2022/12/25","02:30","0.71","-","0.604"
"2022/12/25","02:36","0.714","-","0.601"
"2022/12/25","02:42","0.717","-","0.618"
"2022/12/25","02:48","0.72","-","0.626"
"2022/12/25","02:54","0.721","-","0.621"
"2022/12/25","03:00","0.722","-","0.624"
"2022/12/25","03:06","0.721","-","0.628"
"2022/12/25","03:12","0.72","-","0.628"
"2022/12/25","03:18","0.717","-","0.626"
"2022/12/25","03:24","0.713","-","0.621"
"2022/12/25","03:30","0.708","-","0.624"
"2022/12/25","03:36","0.702","-","0.626"
"2022/12/25","03:42","0.696","-","0.614"
"2022/12/25","03:48","0.688","-","0.602"
"2022/12/25","03:54","0.679","-","0.598"
"2022/12/25","04:00","0.669","-","0.589"
"2022/12/25","04:06","0.659","-","0.577"
"2022/12/25","04:12","0.647","-","0.559"
"2022/12/25","04:18","0.635","-","0.545"
"2022/12/25","04:24","0.622","-","0.526"
"2022/12/25","04:30","0.608","-","0.504"
"2022/12/25","04:36","0.594","-","0.487"
"2022/12/25","04:42","0.579","-","0.474"
"2022/12/25","04:48","0.563","-","0.465"
"2022/12/25","04:54","0.548","-","0.448"
"2022/12/25","05:00","0.531","-","0.424"
"2022/12/25","05:06","0.515","-","0.413"
"2022/12/25","05:12","0.498","-","0.401"
"2022/12/25","05:18","0.481","-","0.391"
"2022/12/25","05:24","0.464","-","0.381"
"2022/12/25","05:30","0.447","-","0.371"
"2022/12/25","05:36","0.429","-","0.358"
"2022/12/25","05:42","0.412","-","0.353"
"2022/12/25","05:48","0.395","-","0.35"
"2022/12/25","05:54","0.377","-","0.341"
"2022/12/25","06:00","0.36","-","0.332"
"2022/12/25","06:06","0.343","-","0.315"
"2022/12/25","06:12","0.326","-","0.296"
"2022/12/25","06:18","0.308","-","0.284"
"2022/12/25","06:24","0.291","-","0.265"
"2022/12/25","06:30","0.274","-","0.252"
"2022/12/25","06:36","0.257","-","0.245"
"2022/12/25","06:42","0.24","-","0.222"
"2022/12/25","06:48","0.223","-","0.211"
"2022/12/25","06:54","0.206","-","0.188"
"2022/12/25","07:00","0.189","-","0.168"
"2022/12/25","07:06","0.173","-","0.151"
"2022/12/25","07:12","0.156","-","0.13"
"2022/12/25","07:18","0.139","-","0.111"
"2022/12/25","07:24","0.123","-","0.095"
"2022/12/25","07:30","0.106","-","0.082"
"2022/12/25","07:36","0.09","-","0.062"
"2022/12/25","07:42","0.074","-","0.038"
"2022/12/25","07:48","0.058","-","0.024"
"2022/12/25","07:54","0.043","-","0.006"
"2022/12/25","08:00","0.028","-","-0.013"
"2022/12/25","08:06","0.014","-","-0.032"
"2022/12/25","08:12","0","-","-0.054"
"2022/12/25","08:18","-0.013","-","-0.067"
"2022/12/25","08:24","-0.025","-","-0.082"
"2022/12/25","08:30","-0.037","-","-0.093"
"2022/12/25","08:36","-0.047","-","-0.102"
"2022/12/25","08:42","-0.057","-","-0.109"
"2022/12/25","08:48","-0.066","-","-0.118"
"2022/12/25","08:54","-0.073","-","-0.123"
"2022/12/25","09:00","-0.079","-","-0.136"
"2022/12/25","09:06","-0.084","-","-0.141"
"2022/12/25","09:12","-0.087","-","-0.153"
"2022/12/25","09:18","-0.089","-","-0.151"
"2022/12/25","09:24","-0.089","-","-0.145"
"2022/12/25","09:30","-0.088","-","-0.147"
"2022/12/25","09:36","-0.085","-","-0.14"
"2022/12/25","09:42","-0.08","-","-0.15"
"2022/12/25","09:48","-0.074","-","-0.133"
"2022/12/25","09:54","-0.066","-","-0.132"
"2022/12/25","10:00","-0.056","-","-0.126"
"2022/12/25","10:06","-0.044","-","-0.113"
"2022/12/25","10:12","-0.031","-","-0.111"
"2022/12/25","10:18","-0.016","-","-0.097"
"2022/12/25","10:24","0","-","-0.076"
"2022/12/25","10:30","0.018","-","-0.051"
"2022/12/25","10:36","0.038","-","-0.02"
"2022/12/25","10:42","0.059","-","0.001"
"2022/12/25","10:48","0.081","-","0.029"
"2022/12/25","10:54","0.105","-","0.053"
"2022/12/25","11:00","0.13","-","0.082"
"2022/12/25","11:06","0.155","-","0.109"
"2022/12/25","11:12","0.182","-","0.129"
"2022/12/25","11:18","0.21","-","0.16"
"2022/12/25","11:24","0.238","-","0.191"
"2022/12/25","11:30","0.267","-","0.218"
"2022/12/25","11:36","0.297","-","0.24"
"2022/12/25","11:42","0.327","-","0.271"
"2022/12/25","11:48","0.357","-","0.304"
"2022/12/25","11:54","0.387","-","0.331"
"2022/12/25","12:00","0.418","-","0.359"
"2022/12/25","12:06","0.448","-","0.391"
"2022/12/25","12:12","0.478","-","0.421"
"2022/12/25","12:18","0.508","-","0.452"
"2022/12/25","12:24","0.537","-","0.482"
"2022/12/25","12:30","0.566","-","0.517"
"2022/12/25","12:36","0.594","-","0.545"
